category,total_destinations,total_reviews,positive_percentage,neutral_percentage,negative_percentage,average_rating,mean_dest_positive_pct,mean_dest_neutral_pct,mean_dest_negative_pct
Area Mendaki,2,26,92.31,3.85,3.85,4.65,93.75,3.12,3.12
Area Rekreasi Alam,2,2,100.0,0.0,0.0,4.85,100.0,0.0,0.0
Bangunan Bersejarah,1,1,100.0,0.0,0.0,4.6,100.0,0.0,0.0
Cagar Alam,2,8,100.0,0.0,0.0,4.6,100.0,0.0,0.0
Danau,1,3,66.67,0.0,33.33,4.4,66.67,0.0,33.33
"Danau, Tujuan Wisata",1,110,73.64,10.0,16.36,4.25,73.64,10.0,16.36
Hotel,4,114,94.74,0.0,5.26,3.2,85.64,0.0,14.36
Hotel Resor,1,3,100.0,0.0,0.0,4.5,100.0,0.0,0.0
Kafe,3,299,90.3,1.34,8.36,4.57,91.75,1.16,7.09
Kebun Binatang,1,169,97.04,0.0,2.96,4.3,97.04,0.0,2.96
Kedai Sarapan & Makan Siang,1,264,94.7,0.38,4.92,4.3,94.7,0.38,4.92
Kolam Renang,8,499,91.58,0.0,8.42,4.4,90.21,0.0,9.79
Kolam Renang Umum,2,138,92.03,0.72,7.25,4.5,95.98,0.36,3.65
Kolam renang luar ruangan,1,24,87.5,0.0,12.5,4.3,87.5,0.0,12.5
Kompleks Kolam Renang,1,194,90.72,0.52,8.76,4.2,90.72,0.52,8.76
Layanan Sewa Tenda,1,3,100.0,0.0,0.0,4.2,100.0,0.0,0.0
Masjid,1,137,91.97,2.19,5.84,4.7,91.97,2.19,5.84
Otoritas Pelabuhan,1,2,100.0,0.0,0.0,4.8,100.0,0.0,0.0
Pantai,15,1166,88.51,1.46,10.03,4.37,93.49,1.4,5.1
"Pantai, Tujuan Wisata",1,14,100.0,0.0,0.0,4.5,100.0,0.0,0.0
Pasar Malam,1,75,90.67,0.0,9.33,4.5,90.67,0.0,9.33
Pemandian Umum,1,3,100.0,0.0,0.0,4.9,100.0,0.0,0.0
Pemandian air panas,1,16,93.75,6.25,0.0,4.8,93.75,6.25,0.0
Pemandian di Ruang Terbuka,3,11,100.0,0.0,0.0,4.3,100.0,0.0,0.0
Pondok,2,8,100.0,0.0,0.0,4.35,100.0,0.0,0.0
Produsen makanan,1,11,90.91,0.0,9.09,4.4,90.91,0.0,9.09
Pujasera,2,19,100.0,0.0,0.0,4.5,100.0,0.0,0.0
Pusat Informasi Pariwisata,1,4,100.0,0.0,0.0,5.0,100.0,0.0,0.0
Restoran,15,2283,94.17,0.31,5.52,4.61,94.8,0.2,5.0
Restoran Bakso,3,90,91.11,1.11,7.78,4.57,92.53,2.38,5.08
Restoran Indonesia,3,468,92.52,1.07,6.41,4.57,91.94,0.44,7.61
Restoran Jepang,1,311,97.11,0.32,2.57,4.4,97.11,0.32,2.57
Restoran Korea,2,358,94.41,0.0,5.59,4.6,94.77,0.0,5.23
Restoran Masakan Ayam,1,26,92.31,0.0,7.69,4.3,92.31,0.0,7.69
Restoran Mie,1,398,99.5,0.0,0.5,4.9,99.5,0.0,0.5
Restoran Sate,2,102,94.12,0.0,5.88,4.5,94.19,0.0,5.81
Restoran Seafood,1,31,58.06,0.0,41.94,4.2,58.06,0.0,41.94
Restoran Steak,1,112,88.39,0.0,11.61,4.4,88.39,0.0,11.61
Restoran Sunda,12,2139,88.41,0.28,11.31,4.41,86.19,0.31,13.5
Restoran makanan pedesaan,1,19,84.21,0.0,15.79,4.1,84.21,0.0,15.79
Rumah Makan,1,349,93.12,0.57,6.3,4.6,93.12,0.57,6.3
Rumah Pondokan,1,1,100.0,0.0,0.0,4.3,100.0,0.0,0.0
Spa,1,18,100.0,0.0,0.0,4.4,100.0,0.0,0.0
Taman,7,217,96.31,0.0,3.69,4.36,89.05,0.0,10.95
Taman Ekologi,1,35,82.86,0.0,17.14,4.2,82.86,0.0,17.14
Taman Hiburan,2,14,100.0,0.0,0.0,4.55,100.0,0.0,0.0
Taman Kota,6,289,98.27,0.35,1.38,4.6,99.51,0.1,0.4
Taman Rekreasi Air,1,1,100.0,0.0,0.0,5.0,100.0,0.0,0.0
Taman bermain,5,43,93.02,0.0,6.98,4.76,94.85,0.0,5.15
Tempat Acara Memancing,1,10,90.0,0.0,10.0,4.9,90.0,0.0,10.0
Titik Pemandangan,2,7,100.0,0.0,0.0,4.85,100.0,0.0,0.0
Toko Makanan,1,229,96.51,0.0,3.49,4.5,96.51,0.0,3.49
Tujuan Wisata,129,5289,94.27,0.96,4.76,4.5,95.87,0.72,3.41
Wilayah Lintas Alam,1,5,100.0,0.0,0.0,4.4,100.0,0.0,0.0
