destination_name,total_reviews,positive_count,neutral_count,negative_count,positive_percentage,neutral_percentage,negative_percentage,category,average_rating,policy_class
AGROWISATA TEPAS PAPANDAYAN (ATP),285,262,3,20,91.93,1.05,7.02,Tujuan Wisata,4.5,Promotional Priority
Air Terjun Curug Nyogong,16,16,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Air panas muara talaga,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Insufficient Evidence
Alun-Alun Tarogong,83,83,0,0,100.0,0.0,0.0,Taman Kota,4.6,Promotional Priority
Alun-alun Garut,169,164,1,4,97.04,0.59,2.37,Taman Kota,4.5,Promotional Priority
Antapura De Djati,249,238,0,11,95.58,0.0,4.42,Tujuan Wisata,4.5,Promotional Priority
Asep Stroberi Kadungora,252,214,0,38,84.92,0.0,15.08,Restoran Sunda,4.4,Intervention Priority
Awit Sinar Alam Darajat Garut,123,121,0,2,98.37,0.0,1.63,Tujuan Wisata,4.4,Promotional Priority
Babancong Garut / gedung pendopo,1,1,0,0,100.0,0.0,0.0,Bangunan Bersejarah,4.6,Insufficient Evidence
Baso Aci Ceu Imas,74,68,0,6,91.89,0.0,8.11,Restoran Bakso,4.5,Promotional Priority
Batu Patapaan,3,3,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Insufficient Evidence
Batu Tumpang Kab.Garut,39,39,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Botram Garut,349,325,2,22,93.12,0.57,6.3,Rumah Makan,4.6,Promotional Priority
Bukit Dinar Dirham,16,16,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Promotional Priority
Bukit Tegal Malaka,22,20,0,2,90.91,0.0,9.09,Taman bermain,4.5,Promotional Priority
Bumi Upi,375,348,5,22,92.8,1.33,5.87,Restoran Indonesia,4.5,Promotional Priority
CIBITUNG (ALVAN),1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,3.7,Insufficient Evidence
CURUG CI AKAR,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Cafe Saeungapna,195,177,0,18,90.77,0.0,9.23,Restoran Korea,4.4,Promotional Priority
Camping Ground - Situ Cibeureum,9,9,0,0,100.0,0.0,0.0,Tujuan Wisata,4.4,Insufficient Evidence
Cargo kitchen,5,5,0,0,100.0,0.0,0.0,Restoran,4.3,Insufficient Evidence
Cilopang adventure camp,6,6,0,0,100.0,0.0,0.0,Tujuan Wisata,4.4,Insufficient Evidence
Cipanas Indah Hotel,20,18,0,2,90.0,0.0,10.0,,4.1,Promotional Priority
Cipanas Pakenjeng,5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,3.9,Insufficient Evidence
Cipanas darajat garut,6,6,0,0,100.0,0.0,0.0,Pondok,4.3,Insufficient Evidence
Cipanas garut,16,15,1,0,93.75,6.25,0.0,Pemandian air panas,4.8,Promotional Priority
Curg dengdeng bisoro,5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,0.0,Insufficient Evidence
Curug Abeh,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,4.2,Insufficient Evidence
Curug Arjuna,11,11,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Curug Ceret,1,1,0,0,100.0,0.0,0.0,Area Rekreasi Alam,4.7,Insufficient Evidence
Curug Ciarileu Ds Sukamurni kecamatan cilawu,19,19,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Curug Ciarjuna,11,11,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Promotional Priority
Curug Cibadak,21,21,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Curug Cihanyawar Cilawu,50,48,0,2,96.0,0.0,4.0,Tujuan Wisata,4.5,Promotional Priority
Curug Ciharus Dano Leles,17,15,1,1,88.24,5.88,5.88,Tujuan Wisata,4.4,Promotional Priority
Curug Cikaso Cisompet,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Insufficient Evidence
Curug Cilimbung,1,1,0,0,100.0,0.0,0.0,Area Rekreasi Alam,5.0,Insufficient Evidence
Curug Cisarua,5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Insufficient Evidence
Curug Cisarua Cilawu,46,44,0,2,95.65,0.0,4.35,Tujuan Wisata,4.7,Promotional Priority
Curug Citiis,10,10,0,0,100.0,0.0,0.0,Area Mendaki,4.6,Promotional Priority
Curug Darwin,1,1,0,0,100.0,0.0,0.0,Taman bermain,4.5,Insufficient Evidence
Curug Dengdeng,6,6,0,0,100.0,0.0,0.0,Cagar Alam,4.7,Insufficient Evidence
Curug Jagapati,39,39,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Promotional Priority
Curug Layung,5,5,0,0,100.0,0.0,0.0,Wilayah Lintas Alam,4.4,Insufficient Evidence
