destination_name,author,rating,review_text,cleaned_text,sentiment_label,sentiment_name
Taman Wisata Alam Gn Papandayan,Rivo Riski Maulana,5.0,Pemandangan yang bagus masyaallah tabarakallah. Parkiran luas. Tracking nya cukup ramah bagi pemula,pandang bagus masyaallah tabarakallah parkir luas tracking nya ramah mula,2,Positif
Taman Wisata Alam Gn Papandayan,Byhaz Group,4.0,Dingin nya sampe menggigil 🥶🥶🥶,dingin nya sampe gigil,2,Positif
Taman Wisata Alam Gn Papandayan,Rinaldi Helmi,5.0,Bener2 wisata alam,bener2 alam,2,Positif
Taman Wisata Alam Gn Papandayan,Hadi Arnowo,5.0,"Tempat rekreasi alam yang unik dan asri. Bisa camping, hiking tetapi harus mendaftar terlebih dahulu.",rekreasi alam unik asri camping hiking daftar,2,Positif
Taman Wisata Alam Gn Papandayan,VIVI CALLUAELLA BANJAR NAHOR,5.0,Mantaapp,mantaapp,2,Positif
Taman Wisata Alam Gn Papandayan,Ratih S_ GriyaArtaTriwedari,5.0,Pengalaman yang menyenangkan,alam senang,2,Positif
Taman Wisata Alam Gn Papandayan,Irregular,5.0,"Parkiran luar,dan banyak toko/warung untuk sewa alat dan sebagainya.",parkir toko warung sewa alat,2,Positif
Taman Wisata Alam Gn Papandayan,hasna Nadhiroh,5.0,"Buat pemula 5/5 Karena ada opsi ojek naik turun walaupun masih harus ada jalannya. Fasilitas di parkiran juga oke dari mulai kamar mandi, mushola, banyak warung makan Minusnya apaa? RAME BANGETTT APALAGI WEEKEND hehehe",mula 5 5 opsi ojek turun jalan fasilitas parkir oke kamar mandi mushola warung makan minus apaa rame bangettt weekend hehehe,2,Positif
Taman Wisata Alam Gn Papandayan,Windows,1.0,Warga asing membayar 10 kali lipat lebih banyak daripada warga lokal. Ini adalah diskriminasi.,warga asing bayar 10 kali lipat warga lokal diskriminasi,0,Negatif
Taman Wisata Alam Gn Papandayan,Win Project,5.0,"Sampai basecamp jam 3 pagi, dinginnya luar biasa.. Kalau mau kesini bawa jaket tebal, udaranya dingin bgt. Bisa tektok atau ng'camp, ada penyewaan sepatu, tenda, dll..",basecamp jam 3 pagi dingin kesini bawa jaket tebal udara dingin tektok ng camp sewa sepatu tenda dll,2,Positif
Taman Wisata Alam Gn Papandayan,Adi Sucipto,5.0,"Pendakian yg cukup ramah untuk pemula , ada ojek juga , tempat yg indah sejuk sedikit berdebu dan gersang ketika kita berkunjung di bulan Juli rute kendaraan jalanan cukup menancak dan berkelok , ada tempat camp juga , parkiran luas",daki ramah mula ojek indah sejuk debu gersang kunjung juli rute kendara jalan menancak kelok camp parkir luas,2,Positif
Taman Wisata Alam Gn Papandayan,Keyla julianty Shasya,5.0,pokoknya mah the best bgttt,pokok mah the best bgttt,2,Positif
Taman Wisata Alam Gn Papandayan,Ikhwansyah Nurhadi,5.0,Pemandangan yang luar biasa,pandang,2,Positif
