destination_name,author,rating,review_date,review_text,scraped_at,review_id,has_text,cleaned_text,sentiment_label,predicted_label,predicted_sentiment
Taman Wisata Alam Gn Papandayan,Rivo Riski Maulana,5.0,2 jam lalu,Pemandangan yang bagus masyaallah tabarakallah. Parkiran luas. Tracking nya cukup ramah bagi pemula,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21aSlZGUnBMVEZmTFVwV00yODRkMWRVTkROdWNVRRAB,True,pandang bagus masyaallah tabarakallah parkir luas tracking nya ramah mula,2,2,Positive
Taman Wisata Alam Gn Papandayan,Byhaz Group,4.0,5 hari lalu,Dingin nya sampe menggigil 🥶🥶🥶,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2twamIwaFhlVVppVUdoTFYxbExkWFpvVWtSVWJsRRAB,True,dingin nya sampe gigil,2,2,Positive
Taman Wisata Alam Gn Papandayan,Rinaldi Helmi,5.0,5 hari lalu,Bener2 wisata alam,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2tsaE0zTldjelZZWmtoNlprdzFaMEpvVkhBMlYzYxAB,True,bener2 alam,2,2,Positive
Taman Wisata Alam Gn Papandayan,Hadi Arnowo,5.0,6 hari lalu,"Tempat rekreasi alam yang unik dan asri. Bisa camping, hiking tetapi harus mendaftar terlebih dahulu.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25CcVZrOVFTazVwV1cwdGJrVkRTMlp1YkZsNloyYxAB,True,rekreasi alam unik asri camping hiking daftar,2,2,Positive
Taman Wisata Alam Gn Papandayan,VIVI CALLUAELLA BANJAR NAHOR,5.0,seminggu lalu,Mantaapp,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT204MFZGVkRSRUZPVlRsTGVYQkRhamxRVWtoS2FrRRAB,True,mantaapp,2,2,Positive
Taman Wisata Alam Gn Papandayan,Ratih S_ GriyaArtaTriwedari,5.0,Diedit seminggu lalu,Pengalaman yang menyenangkan,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2tGeVZXOVNkVVF4TkhOM1kyNXplREJ2Y2w5cWJrRRAB,True,alam senang,2,2,Positive
Taman Wisata Alam Gn Papandayan,Irregular,5.0,seminggu lalu,"Parkiran luar,dan banyak toko/warung untuk sewa alat dan sebagainya.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21kRVVIQkpabXR1VW14RWExWnZOV05JVTJscU0yYxAB,True,parkir toko warung sewa alat,2,2,Positive
Taman Wisata Alam Gn Papandayan,hasna Nadhiroh,5.0,seminggu lalu,"Buat pemula 5/5 Karena ada opsi ojek naik turun walaupun masih harus ada jalannya. Fasilitas di parkiran juga oke dari mulai kamar mandi, mushola, banyak warung makan Minusnya apaa? RAME BANGETTT APALAGI WEEKEND hehehe",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2toUFlUSmFkM3BHY0VGTE1ucGFURjl3Ukc5VFMzYxAB,True,mula 5 5 opsi ojek turun jalan fasilitas parkir oke kamar mandi mushola warung makan minus apaa rame bangettt weekend hehehe,2,2,Positive
Taman Wisata Alam Gn Papandayan,Windows,1.0,seminggu lalu,Warga asing membayar 10 kali lipat lebih banyak daripada warga lokal. Ini adalah diskriminasi.,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21wRFowUXhVbFJwYVZWbGMwUTJOM0IyTkdKbmVFRRAB,True,warga asing bayar 10 kali lipat warga lokal diskriminasi,0,0,Negative
Taman Wisata Alam Gn Papandayan,Win Project,5.0,2 minggu lalu,"Sampai basecamp jam 3 pagi, dinginnya luar biasa.. Kalau mau kesini bawa jaket tebal, udaranya dingin bgt. Bisa tektok atau ng'camp, ada penyewaan sepatu, tenda, dll..",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25aSmJteEVMUzFhVW5oTFFqbFpUR05FTkVWVFlXYxAB,True,basecamp jam 3 pagi dingin kesini bawa jaket tebal udara dingin tektok ng camp sewa sepatu tenda dll,2,2,Positive
Taman Wisata Alam Gn Papandayan,Adi Sucipto,5.0,2 minggu lalu,"Pendakian yg cukup ramah untuk pemula , ada ojek juga , tempat yg indah sejuk sedikit berdebu dan gersang ketika kita berkunjung di bulan Juli rute kendaraan jalanan cukup menancak dan berkelok , ada tempat camp juga , parkiran luas",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2xKWGJuSlFNRzlsWmt3MFluVjRTRmhGYldkNFkyYxAB,True,daki ramah mula ojek indah sejuk debu gersang kunjung juli rute kendara jalan menancak kelok camp parkir luas,2,2,Positive
Taman Wisata Alam Gn Papandayan,Keyla julianty Shasya,5.0,2 minggu lalu,pokoknya mah the best bgttt,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21GNlNHaFZZMWh0YzNnd09GWmZiV0Z0YUVwRVVuYxAB,True,pokok mah the best bgttt,2,2,Positive
Taman Wisata Alam Gn Papandayan,Ikhwansyah Nurhadi,5.0,2 minggu lalu,Pemandangan yang luar biasa,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25WMFowNVVSVkI1VWpNM1EzQmthbkoyT1RWSGJYYxAB,True,pandang,2,2,Positive
Taman Wisata Alam Gn Papandayan,juragan kebon kosong,5.0,2 minggu lalu,terbaikttt,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25kTFkwcGhXSFoxV0VkelMxOUNUVkF5V2xSNlNtYxAB,True,terbaikttt,2,2,Positive
