name,category,rating,address,scraped_at,url,status
Curug cipeures,Tujuan Wisata,,"FQX7+GC9, Linggamanik, Kec. Cikelet, Kabupaten Garut, Jawa Barat 44177",2026-07-24T04:08:15.722283Z,https://www.google.com/maps/place/Curug+cipeures/data=!4m7!3m6!1s0x2e661bb8974d1209:0xac1a5f89d5252014!8m2!3d-7.5012204!4d107.763621!16s%2Fg%2F11v0p8jhxw!19sChIJCRJNl7gbZi4RFCAl1YlfGqw?authuser=0&hl=id&rclk=1,success
D Leuwi Garut,Tujuan Wisata,4.5,"Kp Panauwan Jl. Pembangunan No.11, RT.3, Tarogong, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat 44150",2026-07-24T04:08:17.988152Z,https://www.google.com/maps/place/D+Leuwi+Garut/data=!4m7!3m6!1s0x2e68b15109a110eb:0x1cd7d2bb5b49aed0!8m2!3d-7.201776!4d107.88708!16s%2Fg%2F11pcrs9j9t!19sChIJ6xChCVGxaC4R0K5JW7vS1xw?authuser=0&hl=id&rclk=1,success
Sumber Alam permandian air panas,Hotel,4.6,"Jl. Raya Cipanas No.122, Pananjung, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151",2026-07-24T04:08:20.534861Z,https://www.google.com/maps/place/Sumber+Alam+permandian+air+panas/data=!4m7!3m6!1s0x2e68b113af4c7acb:0xce35207a8e740080!8m2!3d-7.1781672!4d107.8717736!16s%2Fg%2F11h5dwbmq6!19sChIJy3pMrxOxaC4RgAB0jnogNc4?authuser=0&hl=id&rclk=1,success
Pemandian Air Panas Ciengang,Spa,4.4,"RVFC+6MW, Rancabango, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151",2026-07-24T04:08:23.011779Z,https://www.google.com/maps/place/Pemandian+Air+Panas+Ciengang/data=!4m7!3m6!1s0x2e68b0babe28211b:0xfdbb261740430356!8m2!3d-7.1768897!4d107.8716926!16s%2Fg%2F11b5k754zn!19sChIJGyEovrqwaC4RVgNDQBcmu_0?authuser=0&hl=id&rclk=1,success
Lembah khaisa,Tujuan Wisata,4.7,"PWWR+59J, Unnamed Road, Sukanegla, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44111",2026-07-24T04:08:25.614730Z,https://www.google.com/maps/place/Lembah+khaisa/data=!4m7!3m6!1s0x2e68af95149614bf:0x7b977f6f29afb71e!8m2!3d-7.2545497!4d107.9409028!16s%2Fg%2F11lkt3j9pz!19sChIJvxSWFJWvaC4RHrevKW9_l3s?authuser=0&hl=id&rclk=1,success
Gunung Buligir,Tujuan Wisata,3.0,"CQPV+WH6, Sukamukti, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174",2026-07-24T04:08:27.780146Z,https://www.google.com/maps/place/Gunung+Buligir/data=!4m7!3m6!1s0x2e661ba6de98f325:0x8df6490c1f8f7e24!8m2!3d-7.5627167!4d107.7938857!16s%2Fg%2F11v6ss4f3y!19sChIJJfOY3qYbZi4RJH6PHwxJ9o0?authuser=0&hl=id&rclk=1,success
Taman Wisata Alam Gn Papandayan,Tujuan Wisata,4.8,"Sirnajaya, Kec. Cisurupan, Kabupaten Garut, Jawa Barat 44163",2026-07-24T04:08:30.378239Z,https://www.google.com/maps/place/Taman+Wisata+Alam+Gn+Papandayan/data=!4m7!3m6!1s0x2e68a3bd9cad05d5:0x2872fb52ad10aa75!8m2!3d-7.3065285!4d107.7380383!16s%2Fg%2F11gf9pz503!19sChIJ1QWtnL2jaC4RdaoQrVL7cig?authuser=0&hl=id&rclk=1,success
Restorasa,Restoran,4.8,"Jl. Bank, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44117",2026-07-24T04:08:32.990190Z,https://www.google.com/maps/place/Restorasa/data=!4m7!3m6!1s0x2e68b1481f137193:0x9a6d1de23d47ab87!8m2!3d-7.2137581!4d107.9047862!16s%2Fg%2F11t4cc4818!19sChIJk3ETH0ixaC4Rh6tHPeIdbZo?authuser=0&hl=id&rclk=1,success
Melon hidroponik,Tujuan Wisata,5.0,"FR63+8X, Sindangsari, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174",2026-07-24T04:08:35.430534Z,https://www.google.com/maps/place/Melon+hidroponik/data=!4m7!3m6!1s0x2e661b602b4a6cf3:0x165e5d68f909d18d!8m2!3d-7.5391875!4d107.8049375!16s%2Fg%2F11vlwcgc5k!19sChIJ82xKK2AbZi4RjdEJ-WhdXhY?authuser=0&hl=id&rclk=1,success
Kebun Mawar SITUHAPA Samarang,N/A,4.5,"Jl. Raya Kamojang No.KM. 5, Sukakarya, Kec. Samarang, Kabupaten Garut, Jawa Barat 44161",2026-07-24T04:08:37.590868Z,https://www.google.com/maps/place/Kebun+Mawar+SITUHAPA+Samarang/data=!4m10!3m9!1s0x2e68bbd1a497396d:0x9686b95d592149b8!5m2!4m1!1i2!8m2!3d-7.1938275!4d107.8109245!16s%2Fg%2F12hnmg7dv!19sChIJbTmXpNG7aC4RuEkhWV25hpY?authuser=0&hl=id&rclk=1,success
Pantai Cikaso Bungbulang,Tujuan Wisata,4.5,"Sinarjaya, Kec. Bungbulang, Kabupaten Garut, Jawa Barat 44165",2026-07-24T04:08:40.201962Z,https://www.google.com/maps/place/Pantai+Cikaso+Bungbulang/data=!4m7!3m6!1s0x2e662594fe288505:0x1fc64e95c01e6cfe!8m2!3d-7.5353514!4d107.5001958!16s%2Fg%2F11hbbyn7h6!19sChIJBYUo_pQlZi4R_mwewJVOxh8?authuser=0&hl=id&rclk=1,success
Curug Cisarua,Tujuan Wisata,4.6,"CVCR+W7P, Pangrumasan, Peundeuy, Pangrumasan, Garut, Kabupaten Garut, Jawa Barat 44174",2026-07-24T04:08:42.292431Z,https://www.google.com/maps/place/Curug+Cisarua/data=!4m7!3m6!1s0x2e6605625e245bb3:0x8f0af401ab8e92bb!8m2!3d-7.5776693!4d107.8906996!16s%2Fg%2F11cn6m20rr!19sChIJs1skXmIFZi4Ru5KOqwH0Co8?authuser=0&hl=id&rclk=1,success
Desa Wisata Sindangkasih,Tujuan Wisata,4.7,"Jl. Garut - Tasikmalaya No.Km 16, Sukamaju, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181",2026-07-24T04:08:44.695265Z,https://www.google.com/maps/place/Desa+Wisata+Sindangkasih/data=!4m7!3m6!1s0x2e68afc557bfb6ad:0x7f30f92d07c240bd!8m2!3d-7.3261233!4d107.9419343!16s%2Fg%2F11kmtgcbdp!19sChIJrba_V8WvaC4RvUDCBy35MH8?authuser=0&hl=id&rclk=1,success
Taman Cikiara talagawangi pakenjen garut,Tujuan Wisata,5.0,"HQJ5+Q7, Talagawangi, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat 44164",2026-07-24T04:08:47.363011Z,https://www.google.com/maps/place/Taman+Cikiara+talagawangi+pakenjen+garut/data=!4m7!3m6!1s0x2e68a1007aed12bb:0xfbe6f2016e10f870!8m2!3d-7.4180464!4d107.7581515!16s%2Fg%2F11y7qdv90l!19sChIJuxLtegChaC4RcPgQbgHy5vs?authuser=0&hl=id&rclk=1,success
Danau Situ Bagendit,Danau,4.4,"Kec. Banyuresmi, Kabupaten Garut, Jawa Barat",2026-07-24T04:08:49.612224Z,https://www.google.com/maps/place/Danau+Situ+Bagendit/data=!4m7!3m6!1s0x2e68b6b25803d151:0x6f05d7027d3521dd!8m2!3d-7.1619771!4d107.9435544!16s%2Fg%2F1q5bl7jqm!19sChIJUdEDWLK2aC4R3SE1fQLXBW8?authuser=0&hl=id&rclk=1,success
Bukit Dinar Dirham,Tujuan Wisata,4.8,"GR4H+PWH, Jl. Garut - Pameungpeuk, Mekarwangi, Kec. Cihurip, Kabupaten Garut, Jawa Barat 44173",2026-07-24T04:08:51.915677Z,https://www.google.com/maps/place/Bukit+Dinar+Dirham/data=!4m7!3m6!1s0x2e661d006c856a81:0x5e2486774e5f8261!8m2!3d-7.4931041!4d107.8300394!16s%2Fg%2F11y2w409z1!19sChIJgWqFbAAdZi4RYYJfTneGJF4?authuser=0&hl=id&rclk=1,success
Pantai Cipancong,Tujuan Wisata,4.8,"FF8V+5J, Purbayani, Kec. Caringin, Kabupaten Garut, Jawa Barat 44166",2026-07-24T04:08:54.121332Z,https://www.google.com/maps/place/Pantai+Cipancong/data=!4m7!3m6!1s0x2e66250226034b7d:0xfc4d788b4391ed74!8m2!3d-7.5345426!4d107.4940622!16s%2Fg%2F11rdc4vcx0!19sChIJfUsDJgIlZi4RdO2RQ4t4Tfw?authuser=0&hl=id&rclk=1,success
Pantai Cidora,Pantai,4.4,"Purbayani, Kec. Caringin, Kabupaten Garut, Jawa Barat 44166",2026-07-24T04:08:56.423444Z,https://www.google.com/maps/place/Pantai+Cidora/data=!4m7!3m6!1s0x2e662f57a8a0cb3f:0x533c951ff05bf26e!8m2!3d-7.5214616!4d107.4768595!16s%2Fg%2F11byxg0t8b!19sChIJP8ugqFcvZi4RbvJb8B-VPFM?authuser=0&hl=id&rclk=1,success
Kampung cidarengdeng desa Parakan kecamatan samarang,Tujuan Wisata,5.0,"RR26+CFM, Parakan, Kec. Samarang, Kabupaten Garut, Jawa Barat 44161",2026-07-24T04:08:58.729187Z,https://www.google.com/maps/place/Kampung+cidarengdeng+desa+Parakan+kecamatan+samarang/data=!4m7!3m6!1s0x2e68bbbcafc76ec5:0xce1afd766a0c527c!8m2!3d-7.1989212!4d107.8111774!16s%2Fg%2F11kqn38w0s!19sChIJxW7Hr7y7aC4RfFIManb9Gs4?authuser=0&hl=id&rclk=1,success
Desa Wisata Mulakeudeu,Tujuan Wisata,4.7,"Jl. Sucinaraja, Kp Mulakeudeu, Sukalaksana, Kec. Sucinaraja, Kabupaten Garut, Jawa Barat 44151",2026-07-24T04:09:00.805577Z,https://www.google.com/maps/place/Desa+Wisata+Mulakeudeu/data=!4m7!3m6!1s0x2e68b394a88e2705:0xe4c1316cc299e56d!8m2!3d-7.207698!4d107.9931844!16s%2Fg%2F11h4qhw_j0!19sChIJBSeOqJSzaC4RbeWZwmwxweQ?authuser=0&hl=id&rclk=1,success
Taman Air Panas Cahaya Villa,Kolam Renang,4.6,"Jl. Cipanas Baru No.10, Pananjung, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151",2026-07-24T04:09:03.470884Z,https://www.google.com/maps/place/Taman+Air+Panas+Cahaya+Villa/data=!4m7!3m6!1s0x2e68b1d719c04cfd:0x22168e96947f059e!8m2!3d-7.178828!4d107.877165!16s%2Fg%2F11j0vhhyfv!19sChIJ_UzAGdexaC4RngV_lJaOFiI?authuser=0&hl=id&rclk=1,success
LEUWI PANJANG,Tujuan Wisata,,"FQ45+9R, Margamulya, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174",2026-07-24T04:09:05.796451Z,https://www.google.com/maps/place/LEUWI+PANJANG/data=!4m7!3m6!1s0x2e661900331514b9:0xffba343231d33ffa!8m2!3d-7.5440537!4d107.7595959!16s%2Fg%2F11x2qr20lx!19sChIJuRQVMwAZZi4R-j_TMTI0uv8?authuser=0&hl=id&rclk=1,success
Curug Ciarileu Ds Sukamurni kecamatan cilawu,Tujuan Wisata,4.7,"JVRV+QG4, Patrol, Sukamurni, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181",2026-07-24T04:09:08.471229Z,https://www.google.com/maps/place/Curug+Ciarileu+Ds+Sukamurni+kecamatan+cilawu/data=!4m7!3m6!1s0x2e68a9240d2e8533:0x2b50291eda9dc46d!8m2!3d-7.3581129!4d107.8938435!16s%2Fg%2F11mw7h6n2q!19sChIJM4UuDSSpaC4RbcSd2h4pUCs?authuser=0&hl=id&rclk=1,success
SeaSide WaterPark n Resto,Tujuan Wisata,4.4,"8PJ2+RCR, Mancagahar, Kec. Pameungpeuk, Kabupaten Garut, Jawa Barat 44175",2026-07-24T04:09:10.543813Z,https://www.google.com/maps/place/SeaSide+WaterPark+n+Resto/data=!4m7!3m6!1s0x2e6617840219dd0d:0xf787dd9f5f19e711!8m2!3d-7.6678!4d107.7006!16s%2Fg%2F11smp1hgpc!19sChIJDd0ZAoQXZi4REecZX5_dh_c?authuser=0&hl=id&rclk=1,success
Teras Cimanuk,Taman,4.7,"QVHX+P9R, Sukakarya, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat 44151",2026-07-24T04:09:13.297961Z,https://www.google.com/maps/place/Teras+Cimanuk/data=!4m7!3m6!1s0x2e68b11d4d5ee5cf:0xb9a0934bb44c3aa3!8m2!3d-7.2202142!4d107.8985373!16s%2Fg%2F11rggfkldq!19sChIJz-VeTR2xaC4RozpMtEuToLk?authuser=0&hl=id&rclk=1,success
Pos 2 puncak malaya,Tujuan Wisata,4.4,"FMMW+4XF, Girimukti, Kec. Cikelet, Kabupaten Garut, Jawa Barat 44177",2026-07-24T04:09:15.082048Z,https://www.google.com/maps/place/Pos+2+puncak+malaya/data=!4m7!3m6!1s0x2e661972de23e5e9:0xbf77ead5034c107b!8m2!3d-7.5171831!4d107.6974256!16s%2Fg%2F11j7wwlqcr!19sChIJ6eUj3nIZZi4RexBMA9Xqd78?authuser=0&hl=id&rclk=1,success
Cafe Saeungapna,Restoran Korea,4.4,"Jl. Bank No.17, Paminggir, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44118",2026-07-24T04:09:17.820867Z,https://www.google.com/maps/place/Cafe+Saeungapna/data=!4m7!3m6!1s0x2e68b17531d46abd:0x251d300cce6ee0af!8m2!3d-7.213786!4d107.9002153!16s%2Fg%2F11g_q14bmm!19sChIJvWrUMXWxaC4Rr-BuzgwwHSU?authuser=0&hl=id&rclk=1,success
